#{"t_start": 1781460912.142448, "env_id": "None"}
r,l,t
-12876.387847,3600,18.100852
-9727.467831,3600,37.694802
-11176.653575,3600,59.632974
-9228.477955,3600,83.048669
-11932.995016,3600,106.405238
-9949.685541,3600,127.583241
-11099.812322,3600,149.871011
-9648.542539,3600,171.077711
-10314.066042,3600,193.513456
-10575.544717,3600,215.144158
-10277.956462,3600,236.832458
-10657.743368,3600,258.373076
-10348.512044,3600,279.892726
-9951.350762,3600,301.655577
-10965.756869,3600,323.004474
-11166.770264,3600,344.581015
-9964.089588,3600,366.633795
-10842.769702,3600,388.314778
-11138.093379,3600,410.510317
-12239.646263,3600,433.391042
-8633.270772,3600,454.962805
-10523.680276,3600,477.050307
-11467.285883,3600,498.832302
-9212.336615,3600,520.144857
-11285.266296,3600,542.046147
-7175.880187,3600,563.077577
-10921.894629,3600,584.615271
-10292.795708,3600,606.13601
-8951.317097,3600,627.95673
-8959.073712,3600,649.461485
-11453.557806,3600,671.110437
-9240.649935,3600,692.798057
-10942.869908,3600,714.672605
-9986.745797,3600,736.647793
-8916.253072,3600,758.327024
-10776.969751,3600,780.152641
-10296.887473,3600,801.694621
-11101.387535,3600,823.327364
-10106.109246,3600,844.679469
-10940.589328,3600,866.505819
-10510.828083,3600,888.243056
-10570.731625,3600,909.532901
-8660.971018,3600,931.476232
-10570.257084,3600,952.863292
-10850.641825,3600,975.011967
-10180.089424,3600,996.809454
-9107.869357,3600,1018.931243
-9600.012654,3600,1039.978737
-9997.819768,3600,1061.542227
-9877.822216,3600,1083.097078
-9985.228241,3600,1104.218787
-9754.323861,3600,1126.356722
-9567.409879,3600,1146.927839
-10957.256511,3600,1168.714041
-8053.572307,3600,1190.062412
-7900.108145,3600,1211.914329
-9328.564651,3600,1233.217689
-8537.081457,3600,1254.626536
-7923.618381,3600,1276.667877
-7573.89985,3600,1298.208022
-7003.325902,3600,1319.943272
-9598.742942,3600,1342.111504
-8817.85545,3600,1363.782428
-9393.569625,3600,1385.733547
-7118.848295,3600,1407.17741
-8985.21662,3600,1429.426498
-10208.354239,3600,1451.875673
-9475.120975,3600,1474.348017
-7501.356103,3600,1495.884502
-7696.434346,3600,1518.199123
-8096.88543,3600,1540.475213
-12428.907811,3600,1563.312439
-9459.256259,3600,1585.057296
-7169.517641,3600,1607.57599
-8793.226343,3600,1629.461819
-8797.689095,3600,1651.494398
-8289.771352,3600,1673.572578
-9272.685918,3600,1694.805858
-6545.234918,3600,1717.057273
-8861.727919,3600,1738.79265
-8882.802151,3600,1760.824119
-11162.32119,3600,1782.695898
-8266.313649,3600,1804.514138
-9256.336617,3600,1826.429872
-9307.353946,3600,1848.421521
-9155.590557,3600,1869.888241
-7545.386795,3600,1891.561187
-10366.890987,3600,1913.119849
-7710.563521,3600,1934.654804
-8293.718514,3600,1956.652184
-8675.397372,3600,1978.351987
-8382.4357,3600,2000.227895
-9064.076852,3600,2022.189565
-11125.372741,3600,2044.2981
-9549.66327,3600,2066.088941
-8436.881576,3600,2088.229898
-10654.220483,3600,2110.324342
-5926.122373,3600,2131.891501
-9335.753981,3600,2153.585589
-8027.713354,3600,2175.632818
-8323.822829,3600,2197.397195
-9842.830217,3600,2218.9475
-10205.521439,3600,2240.672223
-9820.064447,3600,2262.71498
-6822.215729,3600,2284.915995
-11195.709048,3600,2306.714249
-9882.024294,3600,2328.529248
-11844.305634,3600,2350.688506
-8957.857783,3600,2372.954204
-10986.304241,3600,2394.57195
-9254.277063,3600,2416.630147
-6668.136181,3600,2438.185344
-7154.11049,3600,2459.771227
-9588.229442,3600,2481.852198
-9342.374676,3600,2503.2892
-7953.720286,3600,2525.836107
-5939.090365,3600,2546.909348
-10152.490731,3600,2568.453705
-6561.859924,3600,2590.105362
-9875.04883,3600,2612.159559
-9070.385083,3600,2634.036098
