#{"t_start": 1780308102.0230057, "env_id": "None"}
r,l,t
-4930.491211,3600,12.045041
-4806.27337,3600,23.978832
-6611.274659,3600,36.07624
-3338.624099,3600,48.041156
-3927.794264,3600,60.299822
-5711.379657,3600,72.686844
-1920.490116,3600,84.823613
-1574.010665,3600,96.914071
-117.691135,3600,109.250425
-3855.121632,3600,122.464898
-4231.959892,3600,135.311266
-3962.362533,3600,148.161234
-1779.915424,3600,160.892973
-1142.727387,3600,173.508106
-179.643072,3600,186.244098
-732.958409,3600,199.166512
-773.151457,3600,212.051007
-435.662059,3600,224.647641
-98.102857,3600,237.347952
-5583.602425,3600,250.563831
-595.893875,3600,263.577492
-440.506163,3600,276.370383
-29.457761,3600,289.367457
-1124.454144,3600,302.12867
-335.254549,3600,315.164889
-265.098251,3600,328.01289
-5.872227,3600,340.701226
-5.337323,3600,353.57345
-1297.867194,3600,366.37761
-483.063496,3600,379.156701
-417.74066,3600,392.102236
-102.338879,3600,404.982832
-56.254787,3600,417.598109
-854.285728,3600,430.498417
-36.141149,3600,443.649249
-63.222639,3600,456.489877
-55.979254,3600,469.181223
-13.160192,3600,482.26163
-23.592427,3600,495.253564
-35.633366,3600,508.007816
-56.14428,3600,520.78089
-114.880696,3600,533.511732
-51.395939,3600,546.413363
-133.09407,3600,559.338336
-51.16609,3600,572.132272
-101.38665,3600,585.011603
-175.059454,3600,597.821646
-236.001251,3600,610.665115
-282.634794,3600,623.288679
-281.315997,3600,636.136685
-1094.166943,3600,648.832955
-56.472656,3600,661.692622
-65.737907,3600,674.377941
-36.422305,3600,687.50106
-9.932227,3600,700.228029
-42.518453,3600,712.814407
-800.367195,3600,725.583624
-173.039452,3600,738.51211
-37.659855,3600,751.460021
-215.165798,3600,764.313919
-37.342029,3600,777.673554
-148.262295,3600,790.430735
-24.758983,3600,803.052468
-68.841735,3600,816.27787
-35.04847,3600,828.965579
-19.011193,3600,841.433787
-5.616901,3600,854.762951
-131.53385,3600,867.883372
-60.88478,3600,880.391031
-242.829743,3600,893.115966
-8.435136,3600,905.910945
-10.391583,3600,918.667932
-22.78127,3600,931.391472
-17.108124,3600,944.139972
-10.588726,3600,956.892604
-14.995537,3600,969.278273
-5.897997,3600,981.843954
-8.610829,3600,994.925406
-31.982816,3600,1007.479939
-21.208375,3600,1019.786026
-66.29146,3600,1033.66162
-176.645441,3600,1047.113748
-51.816819,3600,1060.531848
-452.648641,3600,1073.692662
-14.75652,3600,1086.238751
-104.095311,3600,1099.228625
-104.394282,3600,1112.755108
-50.310778,3600,1125.740704
-65.582751,3600,1138.841969
-39.061507,3600,1152.047495
-158.306383,3600,1166.01789
-12.769705,3600,1180.481029
-585.81194,3600,1193.762081
-16.217687,3600,1206.642987
-182.94525,3600,1219.675212
-21.97171,3600,1232.669273
-22.220773,3600,1246.106365
-309.432366,3600,1259.48254
-93.487984,3600,1272.128128
-60.606407,3600,1285.026237
-16.557824,3600,1297.381579
-404.009148,3600,1310.137226
0.536752,3600,1322.536245
-301.808722,3600,1335.056028
1.385701,3600,1347.668729
-1018.786498,3600,1360.281209
-9.812525,3600,1372.776266
-13.423033,3600,1385.350873
-61.1027,3600,1397.934922
-5.489533,3600,1411.351534
-513.714633,3600,1423.801518
-40.286973,3600,1436.07094
-19.561419,3600,1448.669944
-59.356204,3600,1461.113544
-62.119715,3600,1473.586296
-6.040793,3600,1486.074418
-5.725627,3600,1498.309744
-8.056456,3600,1510.593395
-43.583438,3600,1522.946951
-13.878992,3600,1535.488142
-3.31069,3600,1547.805617
-42.678599,3600,1560.167763
-318.743132,3600,1572.511062
-122.704046,3600,1584.967963
-15.79209,3600,1597.566872
-208.86456,3600,1609.905592
-587.614148,3600,1622.438462
-2.573613,3600,1634.851651
-16.53346,3600,1647.283413
-79.800517,3600,1659.525977
-51.964724,3600,1671.954534
-5.764429,3600,1684.169994
-206.351165,3600,1696.664706
-435.515903,3600,1709.185093
-13.701586,3600,1721.461966
-24.6943,3600,1733.814973
-5.896954,3600,1746.272799
-4.719588,3600,1758.759495
-325.045342,3600,1771.127813
-9.974955,3600,1783.503952
-109.503954,3600,1795.993345
-11.153646,3600,1808.39772
-336.704299,3600,1820.901422
-6.783039,3600,1833.258915
-124.88948,3600,1845.600734
-62.598835,3600,1857.918867
-1.333646,3600,1870.23543
0.982048,3600,1882.664806
-69.602913,3600,1895.149464
-3.261158,3600,1907.48189
-26.009879,3600,1919.768883
-187.465579,3600,1932.109869
-80.973213,3600,1944.572789
-25.221555,3600,1956.914021
-108.271761,3600,1969.210324
-25.066687,3600,1981.568361
-6.755212,3600,1993.84268
-137.560607,3600,2006.353346
-159.132265,3600,2018.790651
-11.698251,3600,2031.177704
-114.18015,3600,2043.671542
-17.586235,3600,2056.07503
-11.191855,3600,2070.968953
-12.998771,3600,2084.137787
-62.08625,3600,2096.651353
-7.720595,3600,2109.326188
-292.974048,3600,2122.068922
-59.939005,3600,2134.809673
-14.743106,3600,2147.393951
-15.748325,3600,2160.113492
-90.699405,3600,2172.435967
-60.298492,3600,2185.139506
-75.052322,3600,2197.615742
-19.637804,3600,2210.436031
-22.46279,3600,2223.136928
-2.13121,3600,2236.007059
-28.457693,3600,2248.582004
-17.527485,3600,2261.213378
-112.027501,3600,2273.809728
-147.372302,3600,2286.606407
-17.008275,3600,2299.124394
-27.18197,3600,2311.765044
-7.79924,3600,2324.557577
-424.847475,3600,2337.0459
-256.866944,3600,2349.908274
-8.887314,3600,2362.387608
-0.099747,3600,2375.015701
-51.024346,3600,2388.002934
-12.010928,3600,2400.564817
-1077.109254,3600,2413.22332
-3.717982,3600,2425.850345
-2139.17976,3600,2438.807189
-58.398543,3600,2451.339618
1.592812,3600,2463.518509
-45.787098,3600,2476.200075
1.122671,3600,2488.615887
-763.514959,3600,2501.347383
-31.175884,3600,2514.269218
-5.86942,3600,2526.950836
-57.528535,3600,2539.593085
-19.188543,3600,2552.348996
-3.153383,3600,2564.887578
-84.581336,3600,2577.53802
-277.209059,3600,2590.127989
-5.11131,3600,2602.63536
-134.46258,3600,2615.191459
-18.188895,3600,2627.538485
-12.203469,3600,2640.341322
-129.030545,3600,2652.989257
0.864701,3600,2665.620869
-0.48512,3600,2678.063059
-108.276148,3600,2690.49287
-6.74847,3600,2702.963176
-0.984682,3600,2715.552949
-37.111098,3600,2728.08369
-57.625601,3600,2740.920527
-18.425794,3600,2753.359412
-5.340063,3600,2766.266588
1.075141,3600,2778.728335
-60.513212,3600,2791.314711
-53.467904,3600,2803.844715
-17.738829,3600,2816.414789
-10.202474,3600,2828.916507
-9.722653,3600,2841.628489
-30.240434,3600,2854.411727
-18.1738,3600,2867.161972
-91.12344,3600,2879.635715
-72.208455,3600,2892.148479
-4.187175,3600,2904.755504
-17.365804,3600,2917.193948
-6.641091,3600,2929.822031
-3.280934,3600,2942.592605
-93.790596,3600,2955.193993
-14.922421,3600,2967.954228
-8.961818,3600,2980.30705
-13.828653,3600,2992.742928
-1094.497942,3600,3005.276076
-153.048395,3600,3018.007014
-20.058425,3600,3030.424648
-19.414771,3600,3043.952206
-142.243946,3600,3057.564538
-13.477764,3600,3071.418469
-1.797003,3600,3084.136359
-49.438235,3600,3097.04545
-1.980799,3600,3109.502674
-43.886026,3600,3122.012287
-31.886244,3600,3134.405167
-2.711609,3600,3147.686464
-17.145289,3600,3160.437892
-6.491972,3600,3172.733199
-29.941829,3600,3185.18515
-70.979366,3600,3197.669698
-57.327944,3600,3209.994026
-8.16724,3600,3222.738449
-204.841889,3600,3235.250142
-18.825767,3600,3247.607858
-4.515326,3600,3259.846009
-21.584775,3600,3272.552914
-117.466939,3600,3285.039917
-2.70912,3600,3297.383948
-10.795132,3600,3309.632597
-9.071824,3600,3322.093682
-23.305147,3600,3334.542957
-1031.768084,3600,3347.342339
-11.069334,3600,3359.987194
-31.817109,3600,3372.150176
-5.374572,3600,3384.382712
-132.34916,3600,3396.993739
0.006958,3600,3409.502355
-14.20176,3600,3421.945956
-2.081914,3600,3434.319854
-377.748176,3600,3446.863918
