episode,training_timestep,episode_reward,mean_queue,max_queue,mean_waiting_time,mean_speed,total_CO2,total_NOx,total_PMx,total_fuel,arrived_vehicles,pedestrian_waiting,phase_changes,collisions,teleports
35,129600,-85.670939,14.211458333333333,90,5.279884427986168,6.208024351701534,197768557.93940485,69584.1540569498,10064.536080939208,64114188.330147386,1615,1.7747222222222223,282,6,2
36,133200,-214.112289,13.0875,95,4.626470869462659,6.4881027769987005,191381536.9200536,67202.79751702692,10092.92989062038,62043577.47091848,1611,1.6680555555555556,310,4,2
37,136800,-363.280745,12.55625,150,4.749781508598933,6.570174301189927,188617734.37908682,66196.3674802188,10057.146427604897,61147579.013121165,1620,1.7561111111111112,290,3,0
38,140400,-55.772363,10.547222222222222,85,4.121444199510741,7.145645405087958,174390198.74812824,60787.54555160878,10117.194528044582,56535121.65579527,1609,1.5455555555555556,309,3,3
39,144000,-51.411939,11.753125,90,4.543833764370644,6.71671783569085,182079774.67953104,63668.05519659331,10084.830305384789,59028015.58310628,1620,1.8725,295,6,6
40,147600,-67.062589,10.662847222222222,85,4.3701106238984595,6.957601518350297,175353682.5888431,61088.90854084582,10100.944423183999,56847471.55305013,1624,1.5486111111111112,310,6,3
41,151200,-37.22339,7.964236111111111,60,3.024521649129752,7.8405223847843795,158285536.43287194,54696.352709703,10062.39617592136,51314123.41422762,1611,1.5686111111111112,309,1,1
42,154800,-26.348993,10.847222222222221,80,4.023105832866424,6.9306141768713525,176977733.52405888,61759.13662621484,10065.859636035731,57373982.49557149,1610,1.5733333333333333,305,6,3
43,158400,-661.326545,14.447916666666666,130,5.1691006732445555,6.230443310512812,199537683.04357094,70413.54020636623,10025.388215891173,64687748.204961434,1603,1.636111111111111,288,7,2
44,162000,-106.623082,13.072222222222223,95,4.919472258230833,6.445381145277223,190385850.09252098,66823.36382303936,10112.979791047987,61720781.12389666,1624,1.6713888888888888,291,3,3
45,165600,-140.126918,11.655208333333333,110,4.327965186930578,6.909590644363485,181568233.80156088,63486.75086390692,10120.653476623127,58862185.662193045,1622,1.6197222222222223,302,8,2
46,169200,-25.685005,9.784375,100,3.456765919056299,7.289398305840129,171018511.69944513,59470.47604842935,10086.818954677532,55442046.59320642,1621,1.3991666666666667,312,2,0
47,172800,-385.870821,18.235069444444445,115,6.592598945790033,5.347309884544404,222815461.264784,79106.08431130547,10098.711894367785,72234200.0116002,1614,2.0925,278,11,2
48,176400,-6.937448,10.732986111111112,75,3.8383112389290286,6.960031126262845,177932093.65463126,62034.04343750224,10105.189722473031,57683368.57074958,1623,1.47,312,14,2
49,180000,-43.794193,12.097222222222221,90,4.411186707333862,6.9032595033399575,183407839.87599272,64188.50724751933,10080.066898632438,59458563.13561876,1628,1.4777777777777779,312,3,2
50,183600,-394.711959,15.906597222222222,125,5.2298017607234755,5.974429378436028,208919166.8881173,73965.01202992632,10071.127661772993,67729150.76618859,1601,1.825,282,7,3
51,187200,-63.235837,8.948263888888889,60,3.43842823346792,7.414705890087456,165185450.2092908,57232.342967324425,10073.152745398276,53551012.5435662,1620,1.4916666666666667,316,11,2
52,190800,-727.003039,14.940277777777778,150,5.347520578115856,6.16261244544724,201433126.5267244,71134.89794904226,9996.327863006958,65302233.50845489,1590,1.6347222222222222,298,6,4
53,194400,-41.350953,12.341666666666667,95,4.57770015384974,6.643135615047035,185595335.80428436,64993.66867228132,10083.154536471931,60167732.292316824,1630,1.7197222222222222,282,7,1
54,198000,-183.509802,12.60138888888889,130,4.54241505972018,6.661923447672296,188383467.7925841,66039.89570508905,10085.681968834739,61071628.49983731,1623,1.6711111111111112,294,8,2
55,201600,-6.927911,11.170833333333333,80,3.837474961386714,6.89852414932686,179580545.5962301,62708.688682092834,10088.67688930577,58217789.21714106,1624,1.535,306,3,3
56,205200,-270.686655,10.96875,90,4.297284416031202,7.016288122176411,177041629.59643364,61781.51263634849,10073.667542857616,57394698.221563175,1609,1.4730555555555556,320,6,3
57,208800,-164.990919,12.56076388888889,95,4.545178560356195,6.566271562671031,187776411.45275667,65790.08356215774,10057.931402814334,60874819.15137896,1619,1.466388888888889,314,9,5
58,212400,-53.117479,10.498611111111112,80,3.8092888408061683,7.143180526887449,174761079.5376139,60937.03625273281,10072.359253552917,56655358.715885006,1609,1.5972222222222223,314,4,3
59,216000,-51.107239,10.027430555555556,75,3.7433128580213944,7.118270471270024,172386941.28323668,60007.81044206517,10065.636673262077,55885681.05488063,1621,1.4122222222222223,327,6,1
60,219600,-185.177728,12.502083333333333,135,4.082458541432938,6.484415280916374,190027686.32821918,66626.30323058515,10074.899489370047,61604661.97931525,1619,1.4475,314,9,2
61,223200,-18.042597,10.090625,65,3.934780682564592,7.074142644971206,172182251.05035174,59909.332877800545,10085.71824092719,55819320.20023438,1614,1.363611111111111,314,9,3
62,226800,-49.325091,10.328125,70,3.6443347159565627,7.00050393255262,174778391.90162808,60864.62398753833,10087.707840677836,56660960.02374739,1624,1.3519444444444444,318,8,2
63,230400,-715.802085,14.469791666666667,165,5.103824557920782,6.538127426678814,198043321.04639155,69811.71388242491,10062.239711366536,64203281.28688083,1610,1.5325,314,3,1
64,234000,-134.098745,12.540625,100,4.55813177489709,6.433152955879002,187582753.83376503,65726.39513218334,10007.251170337513,60812036.61186017,1615,1.5025,306,1,0
65,237600,-26.903983,10.614930555555556,90,3.820096511662407,7.0293118598348086,175520396.0132413,61187.99922833691,10081.742224459136,56901520.99940091,1622,1.486388888888889,320,3,1
66,241200,-22.794861,12.42361111111111,80,4.204500658774883,6.460373577639032,188715543.29126987,66132.22685412693,10072.328331718123,61179272.09294322,1627,1.5397222222222222,303,13,4
67,244800,-74.270323,11.736805555555556,110,4.089857414422948,6.6884970240736425,184239323.254819,64460.153551116244,10084.085061320817,59728124.07043281,1620,1.6155555555555556,313,8,6
68,248400,-80.49089,12.240972222222222,100,4.149676057102879,6.59881312013172,187824258.92746904,65788.67977155017,10113.345118712743,60890329.53519795,1624,1.3447222222222222,310,7,3
69,252000,-2370.305965,23.669444444444444,190,6.462657985050344,4.624475455889246,261922278.31263644,94131.7799760891,9994.206456089427,84912348.11743477,1601,1.7266666666666666,288,13,7
70,255600,-21.021692,13.253819444444444,90,4.249170343973884,6.120559007339311,193818655.8804599,68022.91077746722,10085.737425437743,62833661.31259391,1623,1.7783333333333333,296,8,1
71,259200,-21.255177,9.168402777777779,75,2.970350554183928,7.448628179734072,167493432.59131235,58161.194530218985,10110.7302555469,54299250.97057279,1619,1.4727777777777777,326,8,4
72,262800,-10.709128,9.159375,75,2.9487133641809082,7.342285132089039,168719473.98893958,58554.433121772956,10066.219354995894,54696711.85175122,1623,1.3730555555555555,328,2,1
73,266400,-35.644611,12.465625,80,4.191309200113291,6.310468215244607,189128496.92768383,66324.07074094401,10070.768900847912,61313152.8432084,1611,1.6144444444444443,304,4,0
74,270000,-310.873712,13.718055555555555,130,4.2126713075272155,6.25886917942944,198964793.63194352,70040.03818829413,10078.133568202653,64501999.693311505,1620,1.5152777777777777,298,6,2
75,273600,-15.291287,9.978819444444444,75,3.4432259418842435,7.076656403782769,173095443.45045367,60221.07249605641,10118.959941571571,56115364.31216791,1615,1.456388888888889,324,5,0
76,277200,-136.40772,11.22673611111111,115,3.842967963407225,7.010619219820983,178620010.48413968,62437.09354229254,10028.172275629564,57906403.92271673,1595,1.5919444444444444,314,10,3
77,280800,-42.746366,12.420833333333333,95,4.071686126823822,6.481792417574111,187936146.72713104,65892.783504567,10091.055999217726,60926610.10047591,1615,1.4680555555555554,310,4,1
78,284400,-4.536223,11.294097222222222,80,3.7326009521083487,6.763486338411439,181691025.4412901,63453.34358247576,10089.4895401827,58901976.70290617,1619,1.5788888888888888,306,7,2
79,288000,-62.642484,14.047222222222222,95,4.779331517998218,6.085954326566332,197148335.389418,69370.14227886524,10050.162556755378,63913125.346799746,1613,1.5425,297,7,3
80,291600,-235.192294,16.9625,125,5.1667438416765235,5.463735498002345,217232462.34627822,76971.76890103683,10052.409225230575,70424229.21051861,1611,1.5558333333333334,276,4,2
81,295200,-103.936074,11.267013888888888,80,3.886004085004955,6.819610862349618,180425924.89210564,63041.62546809051,10082.15188327216,58491857.032506905,1619,1.6372222222222221,319,3,2
82,298800,-1157.480352,21.19097222222222,185,5.6681120539495,5.233418998959727,243522682.52544248,87144.19745183129,10034.098431193035,78947337.21146944,1601,1.97,283,3,3
83,302400,-160.926903,13.941666666666666,90,4.97756605113893,6.040469266130666,198133847.0138598,69673.66647025995,10092.774604921533,64232610.80392231,1618,1.7233333333333334,296,3,2
84,306000,-54.253355,11.161111111111111,85,3.6766565201351944,6.816453603611551,180071103.39525622,62843.07104352114,10065.301259353531,58376816.2988856,1626,1.5169444444444444,323,7,6
85,309600,-323.448759,16.630208333333332,125,5.298528258814751,5.702554066759714,215010448.10022426,76137.97016227392,10051.563814965928,69703874.74095587,1623,1.8297222222222222,294,11,4
86,313200,-141.395572,14.868402777777778,100,5.008504498761704,5.949137123844163,203474603.91214424,71779.57519495364,10066.031301027306,65964049.097204246,1614,1.9227777777777777,294,7,2
87,316800,-15.946596,10.122916666666667,80,3.526541657238041,7.124746797422661,173585082.1373198,60435.56271897294,10091.119177070585,56274105.75498089,1617,1.4680555555555554,314,2,1
88,320400,-60.524302,12.752083333333333,95,4.529664682801289,6.438427280705682,189245531.325867,66304.1465827298,10062.551019269427,61351090.39602066,1622,1.4058333333333333,302,7,4
89,324000,-69.148818,13.509375,100,4.662792795245801,6.36038283821041,193404297.67000914,67989.47862584365,10087.054806049196,62699337.77765817,1616,1.773611111111111,294,3,2
90,327600,-77.034734,10.88263888888889,75,3.7054633946345983,6.947938429869338,178439389.02279705,62261.92728527097,10098.98844353243,57847831.12848647,1615,1.5002777777777778,316,6,2
91,331200,-18.415795,8.69513888888889,70,3.1954056811405342,7.562739788328161,164236945.5040961,56901.35515968896,10093.174316561941,53243518.55574826,1626,1.3766666666666667,330,5,0
92,334800,-245.33317,14.060416666666667,115,5.008949332530912,6.1183449598196855,196900071.3465467,69297.44706865642,10080.482318995466,63832640.20274328,1610,1.6283333333333334,296,4,2
93,338400,-281.601846,14.170486111111112,95,5.147631838033079,6.045053316380496,199748495.9409469,70323.41267780616,10073.383629173233,64756068.60070352,1621,1.798888888888889,296,4,3
94,342000,-123.504466,12.807986111111111,95,4.644817448504301,6.401794538727177,189958595.53489846,66653.76174443227,10068.910670713905,61582265.80835599,1610,1.5005555555555556,302,13,1
95,345600,-272.216223,18.921875,115,6.343327210614195,5.405191327356841,226869796.87468165,80611.71935704374,10062.84138378115,73548577.72481267,1628,1.8822222222222222,282,8,1
96,349200,-15.750997,9.489930555555556,85,3.4567710217676724,7.423910231439018,168542232.815148,58560.41054251432,10107.742138226715,54639259.533746555,1621,1.6852777777777779,314,3,3
97,352800,-1.689984,10.973263888888889,75,3.8431074473939244,6.9775425900700085,178209455.23073772,62157.32784611368,10062.363379865536,57773284.892396,1628,1.4252777777777779,312,11,3
98,356400,-72.945437,14.936458333333333,95,5.2610519728630125,6.116187460527508,201374809.51450253,71007.14795970682,10121.44446508911,65283314.572928146,1616,1.6327777777777779,282,5,0
99,360000,-40.743009,10.129861111111111,70,3.713863079623805,7.253115327657696,172376204.08773446,59989.35844307969,10093.380117064344,55882198.82422022,1624,1.8075,310,8,5
100,363600,-18.345519,10.962847222222223,85,4.038247394964292,6.9919148608931225,177615180.61373276,61948.313669876414,10089.463760294313,57580631.75277887,1617,1.886388888888889,302,5,1
101,367200,-27.597524,8.268402777777778,65,3.1858916821327687,7.77040993036193,160593985.39287066,55579.43546285169,10098.03483089188,52062504.84037194,1615,1.5747222222222221,320,3,1
102,370800,-74.194157,13.485416666666667,100,4.539083330029057,6.294428686647406,195038801.49238992,68496.45098849306,10111.344886540805,63229215.270614356,1620,1.8283333333333334,300,5,0
103,374400,-76.529391,9.369791666666666,80,3.469442724228173,7.419332344572304,168187157.29782504,58403.05822994918,10081.588179695424,54524146.116135806,1618,1.4266666666666667,326,8,4
104,378000,-116.904347,13.176388888888889,95,4.913305280441697,6.394993611265904,191425491.50851485,67173.42593199789,10106.838465082072,62057819.3928805,1621,1.6133333333333333,298,6,0
105,381600,-104.495098,14.098958333333334,120,4.3421420906770205,6.340843615561773,198985211.93852127,70029.87483590966,10097.391334547465,64508618.21705016,1622,1.5022222222222221,314,9,1
106,385200,-33.946392,10.440625,80,3.7911863819987346,7.124348685168877,174674156.24007297,60873.75763460924,10092.655782085098,56627180.72378855,1618,1.5091666666666668,322,4,1
107,388800,-104.40093,12.401041666666666,110,4.09354654137039,6.608705172066621,188033890.02099228,65874.81739332943,10072.401458808006,60958287.02722915,1628,1.446388888888889,304,1,0
108,392400,-444.545,14.724652777777777,135,4.848614353513515,6.154166298393961,202665460.93275493,71484.24005212993,10073.679502708252,65701731.42356548,1612,1.5825,306,9,3
109,396000,-114.097662,10.865277777777777,105,4.064606174048412,7.092234212460482,176046343.71280235,61436.183639773735,10063.122320466808,57072035.7964704,1601,1.5108333333333333,316,9,3
110,399600,-97.271666,12.83576388888889,115,4.313647566710078,6.555158369515247,190127304.8251387,66676.09027433745,10076.595375809171,61636957.699948624,1618,1.6552777777777778,302,5,2
111,403200,-286.45539,13.210069444444445,135,4.313312795409459,6.387412692826847,193157908.77479398,67839.24148693036,10106.555153363748,62619461.57902591,1620,1.678611111111111,298,14,5
112,406800,-29.527858,9.372569444444444,90,3.3178401110876767,7.482753452346552,167763789.70605457,58270.41307175692,10065.618580852592,54386892.33799985,1610,1.363611111111111,332,3,3
113,410400,-22.19616,9.985069444444445,70,3.4632251072957136,7.142034349946153,172225523.63169122,59943.193329842645,10081.214003155086,55833351.37247295,1613,1.5327777777777778,322,4,3
114,414000,-230.800088,15.09548611111111,115,4.892850486853954,6.097853824542927,204523711.03012213,72127.36145256265,10098.600714902332,66304154.23513332,1626,1.7827777777777778,296,5,3
115,417600,-22.382288,10.563888888888888,70,3.5647374590634326,7.095661724365699,175968664.49123508,61336.051700036325,10083.715139390297,57046840.10080333,1615,1.5983333333333334,324,7,3
116,421200,-35.191181,10.234027777777778,95,3.682759227437154,7.081894381248619,174012301.09747857,60597.70145029217,10112.108469436189,56412605.2845507,1620,1.535,318,8,4
117,424800,-37.74345,12.824652777777779,90,4.218567450878407,6.3868000084285494,189831230.8660642,66592.28973756966,10072.203986082593,61540976.51845677,1619,1.416111111111111,298,6,2
118,428400,-576.356083,19.480208333333334,155,5.317294343601748,5.074047344607455,237170208.76693976,84436.43727471166,10049.349959370973,76887880.86523573,1623,1.6952777777777779,280,16,4
119,432000,-1507.475798,20.6125,180,6.1380357570704005,5.076424425316277,240472701.95652634,85921.9798318462,10038.052637078403,77958553.16551015,1609,1.9897222222222222,272,5,1
120,435600,-54.907362,13.671527777777778,85,4.34266332391286,6.085625645630112,197175350.87434238,69332.54105760905,10068.63404297913,63921876.95000759,1612,1.5566666666666666,306,4,4
121,439200,-82.75712,14.580555555555556,100,4.598991768290195,5.799381731439553,203373263.5834819,71643.95161660135,10080.8150412429,65931184.73586035,1618,1.6497222222222223,292,2,2
122,442800,-20.784906,11.54861111111111,80,3.698800018596721,6.693265495477764,183573375.1459061,64177.57620912457,10094.401152631472,59512224.72286083,1619,1.4958333333333333,309,6,1
123,446400,-628.474282,18.73090277777778,130,5.3472279679272905,5.06846345742356,231967067.5913533,82513.73586342843,10057.538365019715,75201072.20111918,1605,1.4783333333333333,284,16,5
124,450000,-24.559638,11.272916666666667,90,3.8386924581190294,6.7571930171389925,181454664.78445083,63389.0277246448,10095.090355849348,58825354.55441031,1616,1.4288888888888889,316,6,3
125,453600,-373.513423,16.01597222222222,125,4.947826473477898,5.683832196404117,212013241.78984264,75046.79788081945,10061.53344555007,68732212.29596859,1605,1.5744444444444445,292,6,5
126,457200,-210.229764,15.067361111111111,105,4.583253253136845,5.7970740894481345,205962469.85001993,72704.65930587365,10085.213912289499,66770594.43122232,1619,1.7491666666666668,294,10,8
127,460800,-17.567009,10.84375,75,3.3635569197117294,6.808968071148422,179881601.56033775,62797.956895892356,10091.864331863153,58315380.49557985,1620,1.388611111111111,322,2,1
128,464400,-2713.072356,23.372916666666665,190,6.883027781981996,4.516019037050086,259724510.45031834,93380.55859560077,9987.676269236308,84199855.33375257,1596,1.7505555555555556,278,6,3
129,468000,-312.72037,11.335069444444445,110,3.9316680869425213,6.890061992241364,180719636.6136262,63108.13396554583,10049.265706019542,58587069.879476964,1625,1.5425,324,4,1
130,471600,-61.999176,10.396875,95,3.426032637316438,7.079452226993701,175624610.1920206,61212.23112632257,10063.358449014422,56935307.72290348,1618,1.508888888888889,319,5,0
131,475200,-107.359982,14.011805555555556,100,4.5033300813626,6.127450987466589,199015432.26627845,70059.87189084054,10040.842661358867,64518422.029210314,1615,1.5013888888888889,326,9,7
132,478800,-437.313176,15.32013888888889,155,4.470356564521539,5.826231963085219,209357801.074776,73993.35834192042,10043.108321075368,67871332.2004692,1615,1.69,302,9,1
133,482400,-369.947194,17.16701388888889,120,5.561967209988019,5.537929900640104,217204518.64368826,76992.44349817361,10051.43267242586,70415179.07782954,1607,1.836111111111111,286,9,7
134,486000,-151.99642,13.399652777777778,95,4.790446162137444,6.320795370385138,193400670.62278518,67919.349802703,10067.226021208975,62698160.92433244,1626,1.6847222222222222,301,1,0
135,489600,-195.483095,12.910069444444444,100,4.573449200257047,6.397897905597412,190314420.31475973,66754.61720852423,10075.617216630284,61697620.536464274,1620,1.476388888888889,304,3,3
136,493200,-382.390387,17.454166666666666,125,5.421935403859328,5.5175910383752464,219223011.58819553,77768.62983373553,10058.963745650835,71069557.3432628,1609,1.84,292,3,3
137,496800,-38.431004,10.914583333333333,75,4.0387998701721415,6.874705532814561,177742636.36138684,61977.46021314718,10099.267231898215,57621948.4656035,1620,1.4405555555555556,306,13,1
138,500400,-80.920998,10.840277777777779,80,3.8027190273063614,6.923305346979242,178335436.76665533,62201.6619144525,10089.198572451993,57814127.892802864,1619,1.3977777777777778,325,5,3
139,504000,-10.83534,9.564583333333333,65,3.1908689349160833,7.173029301959957,170512625.66168708,59241.98018981116,10097.366034238812,55278036.10044783,1624,1.2425,322,5,3
140,507600,-231.992226,13.903819444444444,100,4.599012439294396,6.269848520232218,197510536.04677868,69473.98257427054,10092.140607492734,64030539.95673519,1627,1.4805555555555556,298,13,3
141,511200,-21.848969,11.183680555555556,95,3.847242845107093,6.817715573363401,180358828.17136067,62986.95384894466,10124.37926327542,58470096.47997439,1630,1.653888888888889,308,8,4
142,514800,-353.757888,18.151041666666668,110,5.4669833010607825,5.34077429514394,224242032.07345772,79686.31903528613,10050.252748098017,72696685.27873285,1607,1.4866666666666666,290,7,2
143,518400,-106.286,10.821875,85,4.131750786912164,6.9149967447207334,176732321.00827873,61668.470664500404,10076.166271039194,57294418.80465937,1617,1.6033333333333333,310,2,0
144,522000,-90.697618,10.80625,80,3.946113553598338,6.880321745579781,178128614.1903479,62161.4333797463,10104.997434410245,57747086.10687432,1621,1.3747222222222222,322,11,2
145,525600,-274.591202,15.753819444444444,115,5.086991131749989,5.71622673526125,208983512.74468088,73938.50795176858,10037.975007488985,67750001.9910376,1593,1.8983333333333334,288,8,1
146,529200,-432.600375,16.71840277777778,125,4.7001694671397525,5.341568533332462,220134430.90480506,78034.98614454737,10049.109819582618,71365025.08967492,1612,1.4325,294,5,2
147,532800,-602.567272,17.852083333333333,135,5.427417481235233,5.378417598477149,224118969.87577367,79526.8291222768,10006.18570633238,72656780.20315444,1608,1.7766666666666666,289,5,5
148,536400,-280.151719,14.710416666666667,120,4.475074151667402,5.890555664750544,204128983.99648568,71963.27132523445,10067.85452860162,66176187.177646376,1621,1.6222222222222222,294,4,1
149,540000,-3.8176,8.203819444444445,65,2.877057345118881,7.712189677741322,161473526.9954139,55851.31336618365,10104.547237853065,52347636.85621678,1625,1.3586111111111112,334,8,2
150,543600,-33.644496,10.492708333333333,90,3.7572592349890317,7.060995221142132,174928403.3308979,60956.6032041598,10062.737376357934,56709599.79255578,1627,1.3005555555555555,314,8,5
151,547200,-1369.134455,22.767708333333335,150,6.713572238244769,4.499519392648228,254356420.40915787,91097.36753947611,10042.354827657315,82459531.55722052,1599,1.785,264,12,6
152,550800,-130.430288,8.97048611111111,85,3.255719780741641,7.498924627579644,165256698.27149665,57327.18467312672,10073.097494393294,53574116.58515699,1602,1.3319444444444444,324,5,2
153,554400,-1.918433,11.30486111111111,85,3.5947980927813608,6.781721995320105,182251260.45847702,63672.27481586417,10092.205424930578,59083608.189101964,1628,1.4544444444444444,312,6,1
154,558000,-7.025919,9.911111111111111,65,3.243062269427583,7.077392132559851,173512965.28759983,60373.72492811426,10050.626695987292,56250722.477879524,1621,1.4608333333333334,334,8,4
155,561600,-50.09089,10.551736111111111,85,3.7107530925319514,7.002175179181633,176508233.0616825,61523.61310172097,10057.902021177408,57221769.25855669,1613,1.291388888888889,314,4,2
156,565200,-77.071602,13.432638888888889,100,4.3273043735748775,6.1504664119554056,194906951.94741154,68464.08221165859,10065.027363006844,63186482.46146211,1615,1.7269444444444444,294,6,3
157,568800,-132.158791,13.125347222222222,120,4.2935332908927455,6.327846582576536,193012626.10777932,67803.32022806769,10073.907164237791,62572361.056022674,1613,1.8116666666666668,287,2,2
158,572400,-106.256201,12.960069444444445,110,4.379333915693813,6.304678643687655,191897268.74890882,67386.58629556649,10082.699757277136,62210772.76316335,1607,1.4266666666666667,294,7,1
