seed,avg_waiting_time,avg_queue_length,max_queue_length,avg_speed,total_arrived,phase_changes,avg_ped_waiting,total_co2,total_nox,total_pmx,total_fuel,total_collisions,total_teleports
0,9.619614663629282,76.3326388888889,325,2.1844676659509163,1832,256,1.835,1012623953653.6199,373853319.20239955,20783088.440673415,328283089566.29047,9,2
5,9.61296520015515,67.06319444444445,325,2.4866490104876937,1879,256,1.4905555555555556,860581260584.1902,313920816.39728874,21958337.741814956,278991768327.44275,7,3
10,10.202266253917122,76.90104166666667,340,2.1387377371967844,1825,256,1.755,1015134694883.7642,376180638.6092427,20541707.459702574,329097210874.71686,9,5
15,8.603358802453187,68.43715277777778,340,2.3781168402468302,1902,256,1.6397222222222223,921498572692.8021,337736568.8501885,21622231.14290595,298740755955.7906,16,2
20,9.117626933578434,70.48368055555555,300,2.2786383438700804,1848,256,1.8302777777777777,928729197718.2021,341162733.41390336,21204906.61077106,301084959787.25336,12,3
25,9.308207940939932,70.79131944444444,325,2.2977830236281145,1862,256,1.6555555555555554,944075366489.7822,347406208.5875671,21132831.554708075,306060115823.9881,9,3
30,8.997024560511669,71.99305555555556,325,2.2896035959203522,1881,256,1.6777777777777778,959332678650.4417,352620572.4280052,21286864.44316231,311006360211.3499,7,1
35,8.302067816372512,66.41145833333333,310,2.4297691228057605,1939,256,1.4883333333333333,910218404603.5471,332151781.9973587,22144598.292894635,295083676584.3502,7,2
40,9.395958159535597,72.24861111111112,320,2.3184940384976,1838,256,1.6719444444444445,946352442611.9285,348678421.3646469,21088582.70090221,306798366802.1976,11,3
45,9.625821585131861,73.496875,300,2.1638479928671033,1846,256,1.7486111111111111,982719601423.4822,362536353.4457515,20771433.184250034,318588335773.7053,11,2
50,9.28231854559207,71.14652777777778,315,2.4066868641942194,1852,256,1.8788888888888888,921970815365.4978,338579472.2354122,21251672.64099846,298893960501.6885,13,2
55,10.612358444497794,76.08020833333333,380,2.222670321521016,1794,256,2.004166666666667,944043675669.0332,346685084.20240426,21236968.42814032,306049777227.94763,13,10
60,9.2593411925301,71.40590277777778,305,2.310263254159544,1848,256,1.7858333333333334,934346897683.7203,343553630.6122527,21549001.767165408,302906207555.84753,8,4
65,8.962211590145168,70.59791666666666,315,2.280401541818363,1825,256,1.4297222222222221,916941293339.076,337256295.3845462,20942091.8241165,297263466566.92773,3,2
70,10.112589100296232,73.41944444444445,300,2.2204359948845287,1885,256,1.4294444444444445,979478735770.0591,359817937.1088059,21273148.457575075,317537513292.48883,1,2
75,9.953495926032264,78.40416666666667,315,2.010577280762955,1777,256,1.4091666666666667,1021870728612.7174,379385421.6626658,20030096.97213037,331281060144.4861,17,2
80,9.588720581792588,74.41215277777778,320,2.252417094942424,1880,256,1.7647222222222223,985844074970.0192,363051678.77972215,21170692.99390344,319601187990.8307,13,4
85,9.100800008583304,69.89722222222223,325,2.3194907734412116,1823,256,1.6936111111111112,901991502280.0577,330713286.1537767,21359122.488503955,292416766463.0995,12,4
90,10.891839977503365,77.35729166666667,325,2.1735765148085706,1785,256,1.81,980102413640.9741,362571375.8050579,20699105.775132418,317739989901.8695,3,3
95,9.49177886236901,74.55625,310,2.2200904977340397,1818,256,1.7938888888888889,986480917278.7427,365023617.18839955,20462095.664785642,319807845068.0077,15,5
