#{"t_start": 1780645519.2376986, "env_id": "None"}
r,l,t
-3985.598369,3600,25.578804
-5016.546822,3600,49.791934
-4218.50673,3600,75.426719
-634.315929,3600,93.783729
-336.672758,3600,116.906354
-6482.506827,3600,140.125326
-6858.147135,3600,168.295098
-10334.367072,3600,193.065759
-5854.492713,3600,215.170238
-7819.511875,3600,237.146168
-9307.349813,3600,258.485924
-1735.182295,3600,279.719544
-1044.545462,3600,301.186736
-460.221986,3600,322.408441
-163.007923,3600,343.420712
-9605.884838,3600,365.052796
-3286.645867,3600,386.23487
-7335.728261,3600,407.894823
-4380.076871,3600,429.291002
-10501.828545,3600,450.96193
-4560.307356,3600,472.286672
-627.270627,3600,493.98257
-882.562805,3600,515.630099
-3149.512848,3600,537.030612
-6695.151358,3600,558.862432
-3310.155097,3600,579.924586
-1716.413381,3600,600.982231
-4789.550613,3600,622.408545
-254.051121,3600,643.696247
-227.055593,3600,664.943926
-223.573089,3600,686.195431
-621.624818,3600,707.795426
-3265.83713,3600,728.935749
-149.234194,3600,750.542264
-1147.136378,3600,772.425989
-1861.553884,3600,794.001272
-425.435805,3600,815.492216
-284.505087,3600,837.007215
-4309.583937,3600,858.671375
-5152.371637,3600,880.780976
-534.566125,3600,902.629691
-198.747481,3600,924.748585
-417.818572,3600,946.13379
-1100.623853,3600,967.682939
-44.886674,3600,989.290874
-29.24398,3600,1010.634027
-580.686602,3600,1031.913391
-230.008365,3600,1053.213024
-54.765149,3600,1074.966895
-2444.259976,3600,1096.430603
-616.659517,3600,1117.881892
-2628.444051,3600,1140.258976
-204.507176,3600,1161.348678
-54.458855,3600,1183.129024
-491.384607,3600,1204.801743
-77.652994,3600,1226.275758
-108.330545,3600,1247.576346
-4.128831,3600,1268.982701
-662.396216,3600,1290.918259
-308.631526,3600,1312.190104
-1495.119104,3600,1333.735637
-745.592835,3600,1355.3464
-1558.930311,3600,1377.082442
-6.285143,3600,1398.544185
-1378.78783,3600,1420.173876
-1152.512091,3600,1441.663154
-627.761887,3600,1463.462956
-428.273053,3600,1484.745512
-342.775425,3600,1506.308118
-61.916918,3600,1527.940553
-959.600973,3600,1549.587953
-1818.206631,3600,1571.086407
-145.815212,3600,1592.876024
-43.216743,3600,1614.391279
-134.061772,3600,1636.138187
-168.065757,3600,1657.744352
-346.119618,3600,1679.450804
-235.578976,3600,1700.656212
-86.101435,3600,1722.646079
-165.034143,3600,1743.675531
-16.871266,3600,1765.322066
-251.731753,3600,1786.74678
-171.063727,3600,1809.633214
-21.31931,3600,1831.255569
-149.495905,3600,1852.443903
-372.63672,3600,1873.925557
-21.4415,3600,1895.659093
-169.417002,3600,1916.998666
-10.822586,3600,1938.188091
-118.025282,3600,1959.499317
-43.354944,3600,1981.643056
-80.398533,3600,2003.039898
-88.986199,3600,2024.391209
-1.833673,3600,2046.071018
-44.797671,3600,2067.482004
-105.593391,3600,2089.279911
-42.270322,3600,2111.620286
-9.47763,3600,2134.566176
-15.343125,3600,2156.416305
-12.802955,3600,2178.423369
-10.812129,3600,2199.701543
-3.942115,3600,2221.174153
-12.495634,3600,2242.798108
-159.175188,3600,2264.623744
-50.96436,3600,2286.645712
-695.605539,3600,2308.468651
-11.663318,3600,2329.804801
-120.11527,3600,2351.543766
-28.401031,3600,2372.895623
-71.454732,3600,2394.383358
-38.941115,3600,2415.909806
-234.921858,3600,2437.228254
-148.243592,3600,2459.007646
-5.106658,3600,2480.59829
-1193.41171,3600,2502.552573
-10.177345,3600,2524.368588
-7.769134,3600,2545.862241
-134.74804,3600,2567.527752
-6.048993,3600,2588.75509
-24.953775,3600,2610.704877
-7.937174,3600,2632.236945
-40.754485,3600,2653.885161
-11.436226,3600,2675.05481
-70.113027,3600,2696.520566
-49.11779,3600,2718.260679
-44.806898,3600,2739.758543
-132.608344,3600,2761.350425
-9.895681,3600,2782.759061
-48.967588,3600,2804.521309
-26.151601,3600,2825.880345
-148.326107,3600,2847.654584
-86.745407,3600,2868.747865
-7.558625,3600,2890.70206
-19.072118,3600,2912.055628
-4.854971,3600,2933.666883
-15.406604,3600,2955.134559
-6.277707,3600,2976.93927
-8.826869,3600,2998.971473
-4.29431,3600,3020.378751
-32.08274,3600,3041.933444
-14.229659,3600,3063.641283
-22.476383,3600,3085.532768
-5.063532,3600,3106.975066
-43.547268,3600,3129.015042
-7.978074,3600,3150.817459
-3.165474,3600,3172.475209
-2.921175,3600,3194.025636
-12.647237,3600,3216.348297
-0.134288,3600,3238.207664
-9.798559,3600,3259.801503
-66.916834,3600,3281.834475
-60.250429,3600,3303.351338
-4.972534,3600,3325.540955
-8.440388,3600,3348.20742
-26.920084,3600,3371.385599
-67.377076,3600,3393.571379
-3.336252,3600,3415.854326
-49.731222,3600,3438.365867
-2.928899,3600,3460.964004
-9.638787,3600,3484.088163
